,ReportDateTime,Country,Indicator,FullName,Period,Value
3966,2018-06-01 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (May),2018-05-01,55.8
3967,2018-06-01 02:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (May),2018-05-01,53.3
3968,2018-06-01 02:00:00,Norway,Manufacturing PMI,Manufacturing PMI (May),2018-05-01,55.8
3969,2018-06-01 02:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (May),2018-05-01,55.4
3970,2018-06-01 02:00:00,Turkiye,Manufacturing PMI,Istanbul Chamber of Industry Turkey Manufacturing PMI (May),2018-05-01,46.4
3971,2018-06-01 02:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (May),2018-05-01,53.4
3972,2018-06-01 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (May),2018-05-01,62.4
3973,2018-06-01 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (May),2018-05-01,62.4
3974,2018-06-01 02:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (May),2018-05-01,52.7
3975,2018-06-01 02:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (May),2018-05-01,54.4
3976,2018-06-01 02:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (May),2018-05-01,56.9
3977,2018-06-01 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (May),2018-05-01,55.5
3978,2018-06-01 03:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (May),2018-05-01,54.2
3979,2018-06-01 03:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (May),2018-05-01,54.4
3980,2018-06-01 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-05-01,49.8
3981,2018-06-01 08:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (May),2018-05-01,50.7
3982,2018-06-01 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (May),2018-05-01,56.4
3984,2018-06-01 09:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (May),2018-05-01,51.0
3985,2018-06-03 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (May),2018-05-01,51.7
3986,2018-06-04 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (May),2018-05-01,47.8
3988,2018-06-21 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Jun),2018-06-01,53.1
3989,2018-06-22 02:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Jun),2018-06-01,53.1
3990,2018-06-22 02:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Jun),2018-06-01,55.9
3991,2018-06-22 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Jun),2018-06-01,55.0
3992,2018-06-22 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Jun),2018-06-01,54.6
3993,2018-06-27 03:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (Jun),2018-06-01,56.6
3994,2018-06-29 20:00:00,China,Manufacturing PMI,Manufacturing PMI (Jun),2018-06-01,51.5
3996,2018-07-01 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (Jun),2018-06-01,49.8
