,ReportDateTime,Country,Indicator,FullName,Period,Value
6242,2020-07-28 02:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,3.5
6243,2020-07-28 05:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (Jun),2020-06-01 00:00:00,3.5
6244,2020-07-29 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-4.7
6245,2020-07-29 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-1.2
6246,2020-07-30 03:30:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-24.8
6247,2020-07-30 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Jun),2020-06-01 00:00:00,10.0
6248,2020-07-31 01:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Jun),2020-06-01 00:00:00,5.9
6249,2020-07-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,1.1
6250,2020-07-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,1.1
6251,2020-07-31 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (May),2020-05-01 00:00:00,-5.8
6252,2020-07-31 05:00:00,Italy,Retail Sales (YoY),Italian Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-2.2
6253,2020-08-03 02:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,3.9
6254,2020-08-05 00:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-27.8
6255,2020-08-05 02:00:00,Czechia,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,0.0
6256,2020-08-05 02:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-0.1
6257,2020-08-05 04:00:00,Eurozone,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,1.3
6258,2020-08-10 17:45:00,New Zealand,Retail Sales (YoY),Electronic Card Retail Sales (YoY) (Jul),2020-07-01 00:00:00,11.4
6259,2020-08-10 22:03:00,Indonesia,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-17.1
6260,2020-08-12 06:00:00,South Africa,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-7.5
6261,2020-08-12 07:00:00,Brazil,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,0.5
6262,2020-08-13 10:00:00,Colombia,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-14.2
6263,2020-08-13 21:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,-1.1
6264,2020-08-14 02:00:00,Turkiye,Retail Sales (YoY),Turkish Retail Sales (YoY),2020-07-01 00:00:00,-0.8
6265,2020-08-14 07:30:00,United States,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,2.74
6266,2020-08-20 11:00:00,Russia,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,-2.6
6268,2020-08-21 01:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,1.4
6269,2020-08-21 03:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,2.7
6270,2020-08-21 04:00:00,Mexico,Retail Sales (YoY),Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-16.6
6271,2020-08-24 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-07-01 00:00:00,43.8
6272,2020-08-26 01:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,6.7
6273,2020-08-27 02:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,4.8
6274,2020-08-28 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (Jul),2020-07-01 00:00:00,-3.9
6275,2020-08-28 05:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (Jul),2020-07-01 00:00:00,6.4
6276,2020-08-30 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,-2.8
6277,2020-08-30 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Jul),2020-07-01 00:00:00,12.0
6278,2020-08-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,4.1
6279,2020-08-31 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Jul),2020-07-01 00:00:00,4.1
6280,2020-08-31 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (Jun),2020-06-01 00:00:00,-7.3
6281,2020-08-31 08:00:00,Chile,Retail Sales (YoY),Retail Sales (YoY),2020-08-01 00:00:00,-17.4
