,United States,Japan,United Kingdom,Canada,Switzerland,Germany,Australia,Spain,Italy,Eurozone,China,India,Korea,Brazil,Turkiye,Russia,ACWI
2000-10-05,,,,,,,,,159.01,,,,,,,,
2000-10-06,,,,,,,,,159.02,,,,,,,,
2000-10-09,,,,,,,,,156.46,,,,,,,,
2000-10-10,,,,,,,,,154.5,,,,,,,,
2000-10-11,,,,,,,,,155.35,,,,,,,,
2000-10-12,,,,,,,,,152.08,,,,,,,,
2000-10-13,,,,,,,,,151.31,,,,,,,,
2000-10-16,,,,,,,,,153.83,,,,,,,,
2000-10-17,,,,,,,,,153.9,,,,,,,,
2000-10-18,,,,,,,,,153.12,,,,,,,,
2000-10-19,,,,,,,,,152.64,,,,,,,,
2000-10-20,,,,,,,,,156.37,,,,,,,,
2000-10-23,,,,,,,,,157.59,,,,,,,,
2000-10-24,,,,,,,,,159.11,,,,,,,,
2000-10-25,,,,,,,,,161.33,,,,,,,,
2000-10-26,,,,,,,,,160.94,,,,,,,,
2000-10-27,,,,,,,,,160.46,,,,,,,,
2000-10-30,,,,,,,,,162.51,,,,,,,,
2000-10-31,,,,,,,,,162.51,,,,,,,,
2000-11-01,,,,,,,,,163.15,,,,,,,,
2000-11-02,,,,,,,,,165.39,,,,,,,,
2000-11-03,,,,,,,,,164.98,,,,,,,,
2000-11-06,,,,,,,,,165.46,,,,,,,,
2000-11-07,,,,,,,,,166.35,,,,,,,,
2000-11-08,,,,,,,,,166.91,,,,,,,,
2000-11-09,,,,,,,,,166.48,,,,,,,,
2000-11-10,,,,,,,,,166.51,,,,,,,,
2000-11-13,,,,,,,,,163.81,,,,,,,,
2000-11-14,,,,,,,,,161.99,,,,,,,,
2000-11-15,,,,,,,,,165.93,,,,,,,,
2000-11-16,,,,,,,,,167.21,,,,,,,,
2000-11-17,,,,,,,,,166.05,,,,,,,,
2000-11-20,,,,,,,,,165.37,,,,,,,,
2000-11-21,,,,,,,,,162.58,,,,,,,,
2000-11-22,,,,,,,,,163.17,,,,,,,,
2000-11-23,,,,,,,,,160.34,,,,,,,,
2000-11-24,,,,,,,,,161.36,,,,,,,,
2000-11-27,,,,,,,,,164.07,,,,,,,,
2000-11-28,,,,,,,,,163.85,,,,,,,,
2000-11-29,,,,,,,,,162.57,,,,,,,,
2000-11-30,,,,,,,,,163.57,,,,,,,,
2000-12-01,,,,,,,,,159.26,,,,,,,,
2000-12-04,,,,,,,,,159.97,,,,,,,,
2000-12-05,,,,,,,,,156.03,,,,,,,,
2000-12-06,,,,,,,,,158.76,,,,,,,,
2000-12-07,,,,,,,,,157.37,,,,,,,,
